IDUsuario;RetiroDT;RetiroEstacion;AnclajeDT;AnclajeEstacion
87271;2017-03-01 07:13:17.097;16;2017-03-01 07:23:49.400;108
27272;2017-03-01 07:17:45.570;60;2017-03-01 07:24:25.593;25
71304;2017-03-01 07:16:25.130;43;2017-03-01 07:24:43.000;32
84903;2017-03-01 07:21:09.917;44;2017-03-01 07:25:11.000;97
69257;2017-03-01 07:17:14.130;51;2017-03-01 07:25:40.130;121
6952;2017-03-01 07:14:02.800;54;2017-03-01 07:26:04.363;17
85968;2017-03-01 07:17:06.367;21;2017-03-01 07:26:37.000;34
1840;2017-03-01 07:18:49.663;24;2017-03-01 07:26:50.000;27
72152;2017-03-01 07:16:06.020;6;2017-03-01 07:27:34.680;104
39319;2017-03-01 07:20:54.493;49;2017-03-01 07:28:00.463;124
49700;2017-03-01 07:16:14.380;58;2017-03-01 07:28:34.000;69
90809;2017-03-01 07:14:54.333;118;2017-03-01 07:28:43.000;28
31018;2017-03-01 07:23:31.010;43;2017-03-01 07:29:23.000;32
2301;2017-03-01 07:19:45.320;122;2017-03-01 07:30:24.000;28
63235;2017-03-01 07:16:08.100;11;2017-03-01 07:31:02.000;44
81275;2017-03-01 07:22:07.197;73;2017-03-01 07:31:43.000;1
45463;2017-03-01 07:22:59.557;77;2017-03-01 07:32:13.210;2
60488;2017-03-01 07:20:32.743;35;2017-03-01 07:32:20.000;21
5669;2017-03-01 07:27:33.857;8;2017-03-01 07:32:53.000;16
17251;2017-03-01 07:15:00.067;15;2017-03-01 07:33:14.000;79
11127;2017-03-01 07:28:06.217;6;2017-03-01 07:34:16.000;19
7560;2017-03-01 07:21:01.073;119;2017-03-01 07:34:35.320;24
3418;2017-03-01 07:26:36.030;7;2017-03-01 07:35:06.000;63
24584;2017-03-01 07:25:22.997;28;2017-03-01 07:35:33.000;41
42803;2017-03-01 07:29:28.827;90;2017-03-01 07:36:10.000;20
18582;2017-03-01 07:28:45.530;6;2017-03-01 07:37:01.350;98
91161;2017-03-01 07:33:43.317;10;2017-03-01 07:37:40.000;57
88412;2017-03-01 07:20:14.993;18;2017-03-01 07:38:13.290;50
52551;2017-03-01 07:14:35.880;119;2017-03-01 07:39:09.000;10
20071;2017-03-01 07:23:48.137;58;2017-03-01 07:39:46.303;108
63805;2017-03-01 07:36:28.020;75;2017-03-01 07:40:20.467;500
56605;2017-03-01 07:30:13.813;107;2017-03-01 07:40:57.920;113
35649;2017-03-01 07:34:51.973;57;2017-03-01 07:41:12.960;99
31889;2017-03-01 07:31:59.830;15;2017-03-01 07:41:21.000;10
88831;2017-03-01 07:23:50.247;49;2017-03-01 07:41:52.000;55
79760;2017-03-01 07:26:20.137;122;2017-03-01 07:42:16.357;25
85148;2017-03-01 07:39:18.303;120;2017-03-01 07:42:53.590;109
83503;2017-03-01 07:36:06.897;120;2017-03-01 07:43:16.163;106
70148;2017-03-01 07:30:28.157;39;2017-03-01 07:43:31.390;109
46502;2017-03-01 07:36:44.803;95;2017-03-01 07:44:01.000;75
9321;2017-03-01 07:29:00.750;500;2017-03-01 07:44:44.693;99
49569;2017-03-01 07:40:16.523;46;2017-03-01 07:45:12.000;42
89578;2017-03-01 07:36:02.457;500;2017-03-01 07:45:39.633;2
48270;2017-03-01 07:40:27.587;70;2017-03-01 07:45:50.000;94
87167;2017-03-01 07:40:38.477;8;2017-03-01 07:46:08.893;5
87687;2017-03-01 07:32:09.470;40;2017-03-01 07:46:23.887;121
74953;2017-03-01 07:28:40.610;87;2017-03-01 07:46:30.833;109
84891;2017-03-01 07:40:52.743;108;2017-03-01 07:47:00.000;48
84754;2017-03-01 07:36:45.600;11;2017-03-01 07:47:35.410;2
91125;2017-03-01 07:43:25.807;71;2017-03-01 07:47:49.000;74
53430;2017-03-01 07:32:16.737;56;2017-03-01 07:48:05.517;89
70338;2017-03-01 07:36:15.193;110;2017-03-01 07:48:18.000;41
85306;2017-03-01 07:40:46.807;61;2017-03-01 07:48:44.000;74
72203;2017-03-01 07:38:49.883;101;2017-03-01 07:48:58.000;4
84765;2017-03-01 07:44:54.167;114;2017-03-01 07:49:34.997;122
69289;2017-03-01 07:36:54.520;42;2017-03-01 07:49:54.000;34
27965;2017-03-01 07:40:26.540;52;2017-03-01 07:50:16.000;32
88601;2017-03-01 07:42:53.527;121;2017-03-01 07:50:26.000;45
50601;2017-03-01 07:31:55.207;106;2017-03-01 07:50:48.000;4
46395;2017-03-01 07:40:55.727;76;2017-03-01 07:51:21.000;9
90815;2017-03-01 07:46:31.810;21;2017-03-01 07:51:24.000;27
66376;2017-03-01 07:44:29.933;128;2017-03-01 07:51:41.000;27
39790;2017-03-01 07:34:17.880;49;2017-03-01 07:51:58.970;101
21281;2017-03-01 07:46:53.357;45;2017-03-01 07:52:30.737;24
89132;2017-03-01 07:40:18.760;19;2017-03-01 07:52:35.000;75
48025;2017-03-01 07:40:55.227;31;2017-03-01 07:53:05.000;50
36494;2017-03-01 07:42:35.243;119;2017-03-01 07:53:19.170;129
91347;2017-03-01 07:44:23.480;89;2017-03-01 07:53:20.000;67
84058;2017-03-01 07:43:12.730;32;2017-03-01 07:53:42.477;121
89547;2017-03-01 07:46:36.437;105;2017-03-01 07:53:58.627;123
58553;2017-03-01 07:42:57.527;9;2017-03-01 07:54:12.000;75
79131;2017-03-01 07:49:05.373;30;2017-03-01 07:54:33.000;67
81445;2017-03-01 07:42:14.133;75;2017-03-01 07:54:47.000;21
265;2017-03-01 07:47:08.247;87;2017-03-01 07:54:59.000;3
55273;2017-03-01 07:37:43.757;65;2017-03-01 07:55:37.580;46
46900;2017-03-01 07:51:25.393;5;2017-03-01 07:55:50.000;8
5041;2017-03-01 07:43:50.950;30;2017-03-01 07:56:00.407;24
52358;2017-03-01 07:51:43.610;35;2017-03-01 07:56:22.000;18
72975;2017-03-01 07:48:47.657;40;2017-03-01 07:56:52.997;24
4922;2017-03-01 07:44:32.637;85;2017-03-01 07:57:03.000;26
91300;2017-03-01 07:42:30.587;115;2017-03-01 07:57:23.170;109
74587;2017-03-01 07:50:20.547;106;2017-03-01 07:57:38.843;123
89629;2017-03-01 07:52:07.690;40;2017-03-01 07:57:59.000;36
59561;2017-03-01 07:48:55.047;14;2017-03-01 07:58:15.360;2
85153;2017-03-01 07:54:35.300;92;2017-03-01 07:58:47.577;50
73965;2017-03-01 07:54:14.893;87;2017-03-01 07:59:02.000;4
1879;2017-03-01 07:55:24.660;58;2017-03-01 07:59:26.000;9
15922;2017-03-01 07:50:41.830;102;2017-03-01 07:59:35.000;44
66247;2017-03-01 07:38:31.430;120;2017-03-01 08:00:02.000;31
60511;2017-03-01 07:49:24.280;109;2017-03-01 08:00:27.513;100
7994;2017-03-01 07:41:36.573;6;2017-03-01 08:00:37.337;50
90079;2017-03-01 07:45:31.060;91;2017-03-01 08:00:47.963;22
51984;2017-03-01 07:54:55.927;89;2017-03-01 08:01:04.000;34
55632;2017-03-01 07:50:05.047;115;2017-03-01 08:01:31.547;109
81975;2017-03-01 07:57:28.020;6;2017-03-01 08:02:15.030;5
29118;2017-03-01 07:55:39.113;52;2017-03-01 08:02:29.280;108
20313;2017-03-01 07:49:21.547;31;2017-03-01 08:02:32.000;117
54818;2017-03-01 07:57:51.740;125;2017-03-01 08:02:44.000;117
80958;2017-03-01 07:49:40.983;106;2017-03-01 08:02:50.000;15
26964;2017-03-01 07:57:14.067;40;2017-03-01 08:02:57.000;18
56949;2017-03-01 07:55:15.723;75;2017-03-01 08:03:08.000;80
20591;2017-03-01 07:53:02.033;9;2017-03-01 08:03:29.000;32
75960;2017-03-01 07:58:17.477;95;2017-03-01 08:04:11.000;9
28054;2017-03-01 07:54:37.207;32;2017-03-01 08:04:27.153;122
42256;2017-03-01 07:52:04.813;106;2017-03-01 08:04:44.837;123
48539;2017-03-01 07:53:16.457;29;2017-03-01 08:04:54.790;76
90520;2017-03-01 07:52:06.813;93;2017-03-01 08:05:15.000;32
31557;2017-03-01 07:58:02.990;121;2017-03-01 08:05:46.680;98
55406;2017-02-28 23:55:07.577;21;2017-03-01 00:07:41.833;72
16326;2017-02-28 23:53:56.153;76;2017-03-01 00:50:32.820;11
88975;2017-03-01 06:00:24.133;20;2017-03-01 06:11:28.000;14
56942;2017-03-01 06:00:45.587;64;2017-03-01 06:14:16.550;93
60173;2017-03-01 06:19:13.290;119;2017-03-01 06:22:13.357;112
26129;2017-03-01 06:17:50.303;65;2017-03-01 06:26:54.000;21
40355;2017-03-01 06:13:40.647;61;2017-03-01 06:29:49.000;14
75529;2017-03-01 06:27:39.047;91;2017-03-01 06:34:23.217;110
85446;2017-03-01 06:28:58.313;74;2017-03-01 06:36:10.000;65
41060;2017-03-01 06:32:18.253;75;2017-03-01 06:39:37.000;57
52060;2017-03-01 06:28:06.640;88;2017-03-01 06:43:36.167;35
43095;2017-03-01 06:40:00.760;49;2017-03-01 06:45:48.000;87
62021;2017-03-01 06:37:40.490;28;2017-03-01 06:48:07.000;14
42973;2017-03-01 06:35:10.083;3;2017-03-01 06:49:03.000;14
53075;2017-03-01 06:44:27.263;91;2017-03-01 06:52:12.773;111
87515;2017-03-01 06:50:21.330;98;2017-03-01 06:54:54.337;102
51676;2017-03-01 06:52:57.363;114;2017-03-01 06:57:12.543;112
90066;2017-03-01 06:47:56.717;117;2017-03-01 06:58:36.640;109
69588;2017-03-01 06:55:31.490;107;2017-03-01 06:59:58.010;121
53082;2017-03-01 06:53:27.003;65;2017-03-01 07:00:27.000;28
42819;2017-03-01 06:58:46.947;116;2017-03-01 07:02:15.000;117
61976;2017-03-01 06:44:13.810;39;2017-03-01 07:04:02.480;112
65447;2017-03-01 06:47:39.030;118;2017-03-01 07:05:53.300;2
65183;2017-03-01 07:02:40.433;52;2017-03-01 07:07:01.000;53
345;2017-03-01 07:03:57.653;18;2017-03-01 07:07:56.000;9
43609;2017-03-01 07:01:46.230;12;2017-03-01 07:08:55.000;70
86383;2017-03-01 07:01:32.040;110;2017-03-01 07:10:30.323;43
24936;2017-03-01 06:57:08.553;40;2017-03-01 07:12:21.000;10
55848;2017-03-01 06:54:27.130;80;2017-03-01 07:13:38.000;28
81087;2017-03-01 07:02:02.980;125;2017-03-01 07:15:19.000;1
56773;2017-03-01 07:06:18.093;500;2017-03-01 07:16:57.183;33
20864;2017-03-01 07:07:40.437;57;2017-03-01 07:17:25.000;59
2769;2017-03-01 07:07:57.187;125;2017-03-01 07:18:20.883;112
74137;2017-03-01 07:05:29.763;56;2017-03-01 07:20:02.000;3
87155;2017-03-01 07:16:00.647;27;2017-03-01 07:20:26.920;11
88384;2017-03-01 07:18:16.397;110;2017-03-01 07:21:39.457;112
41952;2017-03-01 07:08:00.967;102;2017-03-01 07:22:51.220;123
64100;2017-03-01 07:12:53.690;39;2017-03-01 07:23:59.847;104
36155;2017-03-01 07:15:59.240;40;2017-03-01 07:24:22.000;26
30515;2017-03-01 07:08:05.250;79;2017-03-01 07:24:45.000;32
67106;2017-03-01 07:18:35.147;55;2017-03-01 07:25:11.000;18
22902;2017-03-01 07:18:53.553;40;2017-03-01 07:25:41.687;102
23607;2017-03-01 07:21:08.680;54;2017-03-01 07:26:08.817;52
12086;2017-03-01 07:13:43.067;500;2017-03-01 07:26:42.000;16
84039;2017-03-01 07:23:44.307;5;2017-03-01 07:27:02.307;89
18435;2017-03-01 07:17:48.897;16;2017-03-01 07:27:48.000;91
26575;2017-03-01 07:20:06.680;23;2017-03-01 07:28:18.000;9
27574;2017-03-01 07:14:53.740;500;2017-03-01 07:28:41.207;82
59242;2017-03-01 07:12:18.440;103;2017-03-01 07:29:05.623;112
57049;2017-03-01 07:21:44.917;24;2017-03-01 07:29:49.000;32
45368;2017-03-01 07:20:48.727;80;2017-03-01 07:30:23.000;58
83397;2017-03-01 07:16:13.363;14;2017-03-01 07:31:10.000;69
20936;2017-03-01 07:15:51.473;58;2017-03-01 07:31:52.510;50
3694;2017-03-01 07:25:17.903;51;2017-03-01 07:32:14.167;123
40338;2017-03-01 07:25:03.373;103;2017-03-01 07:32:30.940;24
17686;2017-03-01 07:22:09.917;42;2017-03-01 07:32:54.000;45
31562;2017-03-01 07:20:36.680;51;2017-03-01 07:33:33.673;110
53376;2017-03-01 07:30:54.377;67;2017-03-01 07:34:15.000;94
80772;2017-03-01 07:25:05.247;21;2017-03-01 07:34:33.000;18
65771;2017-02-28 14:38:33.027;32;2017-03-01 07:35:18.387;100
71595;2017-03-01 07:20:41.447;119;2017-03-01 07:35:38.000;19
31461;2017-03-01 07:25:42.793;86;2017-03-01 07:36:15.000;73
15415;2017-03-01 07:16:25.257;71;2017-03-01 07:37:31.040;104
14568;2017-03-01 07:29:28.640;65;2017-03-01 07:37:48.000;1
24580;2017-03-01 07:29:11.423;59;2017-03-01 07:38:41.000;19
54585;2017-03-01 07:28:43.000;59;2017-03-01 07:39:20.757;64
105;2017-03-01 07:25:32.840;38;2017-03-01 07:39:48.787;108
90568;2017-03-01 07:36:51.130;110;2017-03-01 07:40:27.610;110
2178;2017-03-01 07:33:01.503;108;2017-03-01 07:41:02.877;105
3264;2017-03-01 07:36:18.943;57;2017-03-01 07:41:11.000;59
83567;2017-03-01 07:31:35.703;117;2017-03-01 07:41:20.000;27
58433;2017-03-01 07:34:18.787;70;2017-03-01 07:41:54.000;86
89234;2017-03-01 07:32:41.393;55;2017-03-01 07:42:19.000;18
91223;2017-03-01 07:27:36.780;51;2017-03-01 07:42:54.977;109
2632;2017-03-01 07:35:00.380;43;2017-03-01 07:43:12.000;27
6221;2017-03-01 07:39:08.617;6;2017-03-01 07:43:31.000;23
2693;2017-03-01 07:38:40.757;5;2017-03-01 07:44:15.897;11
69443;2017-03-01 07:38:18.740;117;2017-03-01 07:44:45.677;119
23433;2017-03-01 07:31:51.690;8;2017-03-01 07:45:18.000;74
84429;2017-03-01 07:36:59.617;58;2017-03-01 07:45:35.000;21
68909;2017-03-01 07:36:01.707;111;2017-03-01 07:46:00.847;123
17134;2017-03-01 07:37:56.320;116;2017-03-01 07:46:11.170;123
890;2017-03-01 07:21:45.807;51;2017-03-01 07:46:19.000;73
87182;2017-03-01 07:36:27.007;65;2017-03-01 07:46:37.640;24
85042;2017-03-01 07:43:31.667;69;2017-03-01 07:47:16.000;74
47794;2017-03-01 07:30:29.250;88;2017-03-01 07:47:45.207;93
50231;2017-03-01 07:42:09.713;19;2017-03-01 07:47:51.000;20
87352;2017-03-01 07:39:36.040;42;2017-03-01 07:48:05.000;47
89913;2017-03-01 07:35:17.253;31;2017-03-01 07:48:39.000;75
85564;2017-03-01 07:35:39.147;82;2017-03-01 07:48:45.000;10
70787;2017-03-01 07:44:21.560;119;2017-03-01 07:49:08.737;123
84686;2017-03-01 07:43:58.213;43;2017-03-01 07:49:40.000;49
54510;2017-03-01 07:39:03.820;39;2017-03-01 07:49:59.490;108
7082;2017-03-01 07:40:57.917;105;2017-03-01 07:50:17.000;30
51215;2017-03-01 07:38:58.397;87;2017-03-01 07:50:34.300;50
10090;2017-03-01 07:28:25.453;74;2017-03-01 07:51:02.623;50
70098;2017-03-01 07:37:10.677;119;2017-03-01 07:51:23.620;99
85102;2017-03-01 07:42:33.980;87;2017-03-01 07:51:30.270;50
83324;2017-03-01 07:40:56.070;118;2017-03-01 07:51:39.000;29
88990;2017-03-01 07:41:38.213;108;2017-03-01 07:51:48.000;97
68198;2017-03-01 07:48:38.453;115;2017-03-01 07:52:10.573;113
19688;2017-03-01 07:42:35.823;11;2017-03-01 07:52:33.500;25
90447;2017-03-01 07:43:49.260;92;2017-03-01 07:52:40.447;123
83383;2017-03-01 07:41:27.103;102;2017-03-01 07:53:10.450;91
90771;2017-03-01 07:43:54.120;42;2017-03-01 07:53:15.000;47
19807;2017-03-01 07:33:54.800;8;2017-03-01 07:53:24.000;3
70618;2017-03-01 07:50:44.063;31;2017-03-01 07:53:57.000;85
82281;2017-03-01 07:43:18.650;31;2017-03-01 07:54:12.000;8
89783;2017-03-01 07:39:18.587;59;2017-03-01 07:54:35.000;20
90863;2017-03-01 07:48:13.967;114;2017-03-01 07:54:53.697;111
64018;2017-03-01 07:46:47.420;117;2017-03-01 07:55:08.043;110
75027;2017-03-01 07:50:15.377;19;2017-03-01 07:55:38.620;93
84846;2017-03-01 07:35:55.943;18;2017-03-01 07:55:57.807;127
46784;2017-03-01 07:36:41.567;65;2017-03-01 07:55:56.000;44
83399;2017-03-01 07:40:49.040;122;2017-03-01 07:56:08.000;67
88504;2017-03-01 07:45:47.027;75;2017-03-01 07:56:28.000;16
79352;2017-03-01 07:43:30.840;107;2017-03-01 07:56:50.000;32
89510;2017-03-01 07:45:22.730;114;2017-03-01 07:57:04.000;87
88656;2017-03-01 07:44:05.980;15;2017-03-01 07:57:27.000;42
18325;2017-03-01 07:50:40.487;43;2017-03-01 07:57:38.990;130
59512;2017-03-01 07:45:24.903;15;2017-03-01 07:58:05.000;117
27572;2017-03-01 07:48:28.187;62;2017-03-01 07:58:31.000;20
66403;2017-03-01 07:53:05.800;124;2017-03-01 07:58:49.843;121
90517;2017-03-01 07:52:55.143;73;2017-03-01 07:59:08.000;65
36838;2017-03-01 07:45:18.230;126;2017-03-01 07:59:25.000;4
84315;2017-03-01 07:52:54.017;43;2017-03-01 07:59:35.000;27
24002;2017-03-01 07:54:49.863;118;2017-03-01 08:00:07.730;109
37517;2017-03-01 07:53:56.550;54;2017-03-01 08:00:32.247;130
87976;2017-03-01 07:51:01.033;30;2017-03-01 08:00:33.000;94
39296;2017-03-01 07:56:00.850;52;2017-03-01 08:00:50.743;91
75682;2017-03-01 07:48:05.890;117;2017-03-01 08:01:16.047;17
69887;2017-03-01 07:54:51.473;123;2017-03-01 08:01:38.630;109
9533;2017-03-01 07:53:32.770;51;2017-03-01 08:02:17.000;20
9589;2017-03-01 07:51:32.173;124;2017-03-01 08:02:30.860;98
38882;2017-03-01 07:48:35.420;79;2017-03-01 08:02:34.777;33
29799;2017-03-01 07:46:51.483;102;2017-03-01 08:02:46.633;123
70781;2017-03-01 07:54:38.690;52;2017-03-01 08:02:56.180;121
18761;2017-03-01 07:52:52.720;60;2017-03-01 08:03:10.360;100
38459;2017-03-01 07:59:12.790;38;2017-03-01 08:03:22.240;24
866;2017-03-01 07:53:32.580;3;2017-03-01 08:03:32.000;28
15684;2017-03-01 07:51:53.830;24;2017-03-01 08:04:13.000;3
52431;2017-03-01 07:42:46.730;500;2017-03-01 08:04:25.000;49
70458;2017-03-01 07:52:23.813;42;2017-03-01 08:04:46.330;123
39149;2017-03-01 07:59:49.507;52;2017-03-01 08:05:03.000;53
85143;2017-03-01 07:53:21.737;48;2017-03-01 08:05:20.007;6
47887;2017-02-28 23:53:02.827;21;2017-03-01 00:00:50.000;65
82576;2017-02-28 23:49:09.137;75;2017-03-01 00:11:55.370;126
63647;2017-03-01 06:01:27.590;34;2017-03-01 06:05:57.000;58
71430;2017-03-01 06:00:22.980;21;2017-03-01 06:04:14.000;33
39988;2017-03-01 06:06:06.670;106;2017-03-01 06:16:55.000;16
24023;2017-03-01 06:17:25.757;68;2017-03-01 06:28:18.000;30
27573;2017-03-01 06:22:05.230;68;2017-03-01 06:33:02.743;76
58567;2017-03-01 06:23:12.777;87;2017-03-01 06:35:14.000;19
20896;2017-03-01 06:25:35.590;30;2017-03-01 06:38:32.000;62
40239;2017-03-01 06:30:07.047;128;2017-03-01 06:41:31.800;110
40429;2017-03-01 06:30:12.033;44;2017-03-01 06:44:33.000;14
19749;2017-03-01 06:40:59.180;128;2017-03-01 06:48:36.223;46
85250;2017-03-01 06:36:08.130;126;2017-03-01 06:51:08.980;2
43973;2017-03-01 06:50:35.173;118;2017-03-01 06:54:25.343;123
4727;2017-03-01 06:46:29.903;64;2017-03-01 06:56:02.550;24
31040;2017-03-01 06:36:31.727;93;2017-03-01 06:54:32.000;33
24705;2017-03-01 06:51:38.830;75;2017-03-01 06:59:19.000;68
50626;2017-03-01 06:55:41.270;128;2017-03-01 07:00:09.000;15
63392;2017-03-01 06:47:47.873;11;2017-03-01 07:01:59.497;102
61428;2017-03-01 06:59:28.663;93;2017-03-01 07:03:25.000;18
90453;2017-03-01 06:54:41.177;106;2017-03-01 07:05:13.000;18
28041;2017-03-01 06:47:17.420;115;2017-03-01 07:06:17.000;1
2669;2017-03-01 07:03:53.433;37;2017-03-01 07:07:09.000;36
86186;2017-03-01 07:00:58.540;130;2017-03-01 07:08:09.917;111
81841;2017-03-01 07:03:04.543;49;2017-03-01 07:09:36.000;21
68302;2017-03-01 06:59:34.743;43;2017-03-01 07:10:48.010;111
47157;2017-03-01 06:59:36.853;113;2017-03-01 07:12:38.603;98
29415;2017-03-01 07:11:24.347;118;2017-03-01 07:14:38.993;50
20691;2017-03-01 07:01:40.383;117;2017-03-01 07:15:48.000;96
20481;2017-03-01 07:06:46.343;39;2017-03-01 07:17:12.093;104
83230;2017-03-01 07:01:44.947;81;2017-03-01 07:17:35.000;21
8256;2017-03-01 06:59:45.227;23;2017-03-01 07:18:32.343;100
57773;2017-03-01 07:08:31.030;75;2017-03-01 07:20:15.593;25
83870;2017-03-01 07:10:10.877;55;2017-03-01 07:20:58.000;16
68543;2017-03-01 07:09:51.563;57;2017-03-01 07:22:34.000;80
19605;2017-03-01 07:10:49.907;95;2017-03-01 07:23:36.000;67
9391;2017-03-01 07:12:32.690;90;2017-03-01 07:24:08.057;24
50318;2017-03-01 07:18:19.943;53;2017-03-01 07:24:40.000;21
36507;2017-03-01 07:12:56.457;42;2017-03-01 07:24:48.000;20
8423;2017-03-01 07:19:32.680;122;2017-03-01 07:25:32.183;130
71470;2017-03-01 07:15:25.707;43;2017-03-01 07:25:44.000;57
54569;2017-03-01 07:20:22.900;130;2017-03-01 07:26:34.000;26
84851;2017-03-01 07:14:30.020;74;2017-03-01 07:26:54.700;100
51465;2017-03-01 07:13:52.817;77;2017-03-01 07:27:20.000;1
38787;2017-03-01 07:13:50.000;4;2017-03-01 07:27:57.590;33
16924;2017-03-01 07:21:17.010;31;2017-03-01 07:28:39.723;33
84142;2017-03-01 07:18:36.790;68;2017-03-01 07:28:45.390;84
62891;2017-03-01 07:24:25.230;58;2017-03-01 07:29:12.000;59
70561;2017-03-01 07:24:06.027;111;2017-03-01 07:30:12.317;115
59289;2017-03-01 07:20:20.133;74;2017-03-01 07:30:44.000;10
73631;2017-03-01 07:19:24.650;115;2017-03-01 07:31:19.557;121
1839;2017-03-01 07:18:35.977;24;2017-03-01 07:32:09.483;50
81035;2017-03-01 07:26:44.247;77;2017-03-01 07:32:51.000;70
84625;2017-03-01 07:27:46.357;34;2017-03-01 07:33:11.000;59
9103;2017-03-01 07:19:16.210;101;2017-03-01 07:33:49.657;108
24188;2017-03-01 07:20:07.087;67;2017-03-01 07:34:28.000;27
64;2017-03-01 07:24:37.607;65;2017-03-01 07:34:58.000;19
73207;2017-03-01 07:32:05.110;103;2017-03-01 07:35:25.000;19
31296;2017-03-01 07:31:27.643;44;2017-03-01 07:35:52.000;97
87949;2017-03-01 07:33:01.020;60;2017-03-01 07:36:35.000;57
15754;2017-03-01 07:29:45.390;24;2017-03-01 07:37:39.000;27
1822;2017-03-01 07:26:45.920;118;2017-03-01 07:38:00.000;20
66393;2017-03-01 07:29:56.423;88;2017-03-01 07:39:06.000;87
28864;2017-03-01 07:34:49.660;92;2017-03-01 07:39:45.770;50
83892;2017-03-01 07:28:52.860;67;2017-03-01 07:40:10.000;8
69567;2017-03-01 07:26:12.233;118;2017-03-01 07:40:55.163;17
50750;2017-03-01 07:29:25.797;51;2017-03-01 07:41:09.673;108
8863;2017-03-01 07:36:30.663;7;2017-03-01 07:41:19.000;9
89551;2017-03-01 07:29:17.860;112;2017-03-01 07:41:44.880;17
46547;2017-03-01 07:32:35.830;87;2017-03-01 07:42:12.643;100
40928;2017-03-01 07:30:07.720;9;2017-03-01 07:42:50.663;50
78235;2017-03-01 07:31:53.783;90;2017-03-01 07:43:10.223;112
31884;2017-03-01 07:31:25.080;42;2017-03-01 07:43:27.023;50
71362;2017-03-01 07:28:52.577;114;2017-03-01 07:43:58.143;118
88630;2017-03-01 07:40:02.900;50;2017-03-01 07:44:30.763;108
62850;2017-03-01 07:36:21.223;6;2017-03-01 07:45:12.000;96
17108;2017-03-01 07:27:28.670;86;2017-03-01 07:45:33.000;19
79395;2017-03-01 07:32:46.957;36;2017-03-01 07:45:54.120;76
32859;2017-03-01 07:26:55.483;60;2017-03-01 07:46:04.077;108
40175;2017-03-01 07:40:40.633;37;2017-03-01 07:46:23.850;102
89682;2017-03-01 07:31:43.143;119;2017-03-01 07:46:26.000;16
894;2017-03-01 07:37:43.773;56;2017-03-01 07:47:01.000;9
82488;2017-03-01 07:38:16.647;38;2017-03-01 07:47:28.000;21
88984;2017-03-01 07:36:32.130;59;2017-03-01 07:47:45.000;21
88935;2017-03-01 07:39:35.320;57;2017-03-01 07:48:00.000;97
52723;2017-03-01 07:42:02.027;31;2017-03-01 07:48:12.000;21
